,dayname,hour,cluster,Lat,Lon
396,Monday,7,6,40.69495,-74.17780555555555
397,Monday,7,7,40.64437692307692,-73.78927692307693
398,Monday,7,8,40.773096153846154,-73.88566153846153
399,Monday,7,9,40.71207,-73.95069
400,Monday,7,10,40.70231153846154,-73.98688846153846
401,Monday,7,11,40.68547222222222,-73.9589388888889
402,Monday,7,12,40.74560689655172,-73.95615172413792
403,Monday,7,13,40.68928181818182,-73.97355
404,Monday,7,14,40.72803636363636,-73.9557409090909
405,Monday,7,15,40.69305555555556,-73.96651111111112
406,Monday,8,-1,40.7298253634895,-73.95213037156704
407,Monday,8,0,40.77394195804196,-73.87244475524476
408,Monday,8,1,40.750468227872304,-73.98367482316957
409,Monday,8,2,40.7158,-73.958792481203
410,Monday,8,3,40.69450454545454,-74.17811818181818
411,Monday,8,4,40.645701960784315,-73.77925098039215
412,Monday,8,5,40.76959921875,-73.86421953125
413,Monday,8,6,40.64662380952381,-73.78968095238095
414,Monday,8,7,40.77302765957447,-73.8856744680851
415,Monday,8,8,40.68503076923077,-73.99921923076923
416,Monday,8,9,40.74574444444445,-73.95664444444444
417,Monday,8,10,40.69083098591549,-73.98720563380282
418,Monday,8,11,40.66778695652174,-73.98026086956521
419,Monday,8,12,40.68795,-73.97063409090909
420,Monday,8,13,40.702928,-73.988148
421,Monday,8,14,40.68057777777778,-73.99431111111112
422,Monday,8,15,40.70942,-73.949128
423,Monday,8,16,40.71086666666667,-73.95586666666667
424,Monday,8,17,40.72477,-73.944
425,Monday,9,-1,40.72661848,-73.94301143999999
426,Monday,9,0,40.74986208762886,-73.98460074742268
427,Monday,9,1,40.773981756756754,-73.87222432432432
428,Monday,9,2,40.76972743902439,-73.86436463414634
429,Monday,9,3,40.772992105263164,-73.88567631578947
430,Monday,9,4,40.71563188405797,-73.96025507246377
431,Monday,9,5,40.694346875,-74.1778875
432,Monday,9,6,40.68077111111111,-73.99720444444445
433,Monday,9,7,40.64551282051282,-73.7800217948718
434,Monday,9,8,40.702741379310346,-73.98559310344827
435,Monday,9,9,40.689855384615385,-73.99060153846155
436,Monday,9,10,40.729424,-73.95624
437,Monday,10,-1,40.73070714285714,-73.93618932874354
438,Monday,10,0,40.74731826789195,-73.98613444722919
439,Monday,10,1,40.64550285714286,-73.78952857142856
440,Monday,10,2,40.77390970873786,-73.87239611650485
441,Monday,10,3,40.69475172413793,-74.17828620689654
442,Monday,10,4,40.76947894736842,-73.86402330827067
443,Monday,10,5,40.645325,-73.77920384615385
444,Monday,10,6,40.773096153846154,-73.88564615384615
445,Monday,10,7,40.691465217391304,-73.98537826086957
446,Monday,10,8,40.731809523809524,-73.95660000000001
447,Monday,10,9,40.71187777777778,-73.96335833333333
448,Monday,10,10,40.717478048780485,-73.95485243902438
449,Monday,10,11,40.702865217391306,-73.98720869565217
